Class,CBO,LOC,OCavg,RFC,WMC
2.0.27-org.apache.pdfbox.pdmodel.common.PDStream,87,481,1.56,83,50
2.0.27-org.apache.pdfbox.pdmodel.common.PDTypedDictionaryWrapper,3,39,1,8,3
2.0.27-org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification,14,403,1.73,40,52
2.0.27-org.apache.pdfbox.pdmodel.common.filespecification.PDEmbeddedFile,13,233,1.45,36,29
2.0.27-org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification,16,51,4,6,4
2.0.27-org.apache.pdfbox.pdmodel.common.filespecification.PDSimpleFileSpecification,4,56,1,7,5
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunction,25,327,2.24,38,38
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunctionType0,9,236,1.85,43,24
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunctionType0.Rinterpol,5,174,3.6,19,18
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunctionType2,10,122,1.71,20,12
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunctionType3,7,148,2.43,24,17
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunctionType4,10,66,2,22,6
2.0.27-org.apache.pdfbox.pdmodel.common.function.PDFunctionTypeIdentity,4,38,1,7,5
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators,0,11,1,1,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Abs,3,16,2,8,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Add,3,26,3,6,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Atan,3,16,2,6,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Ceiling,3,16,2,6,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Cos,3,10,1,6,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Cvi,3,9,1,5,1
